@relation 'bank-data-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.Discretize-R1,4-precision3'

@attribute age {'\'All\''}
@attribute sex {MALE,FEMALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income {'\'(-inf-47816.3]\'','\'(47816.3-inf)\''}
@attribute married {YES,NO}
@attribute children {0,1,2,3}
@attribute car {YES,NO}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data
?,FEMALE,INNER_CITY,?,NO,1,NO,NO,YES,YES,YES
'\'All\'',MALE,SUBURBAN,'\'(-inf-47816.3]\'',YES,0,YES,NO,?,YES,YES
'\'All\'',MALE,TOWN,'\'(-inf-47816.3]\'',?,0,YES,YES,NO,NO,NO
?,?,TOWN,'\'(-inf-47816.3]\'',YES,0,NO,NO,YES,YES,NO
'\'All\'',FEMALE,INNER_CITY,?,YES,2,YES,YES,?,NO,NO
'\'All\'',FEMALE,TOWN,'\'(-inf-47816.3]\'',YES,0,YES,YES,YES,NO,NO
'\'All\'',MALE,INNER_CITY,'\'(-inf-47816.3]\'',NO,1,YES,?,?,YES,YES
'\'All\'',?,RURAL,'\'(-inf-47816.3]\'',NO,3,YES,NO,YES,NO,NO
'\'All\'',?,INNER_CITY,'\'(-inf-47816.3]\'',YES,0,?,NO,NO,?,NO
'\'All\'',FEMALE,?,?,NO,?,NO,YES,YES,?,YES
'\'All\'',MALE,?,'\'(-inf-47816.3]\'',YES,?,YES,YES,YES,NO,NO
'\'All\'',FEMALE,INNER_CITY,'\'(-inf-47816.3]\'',?,0,YES,?,?,NO,NO
'\'All\'',MALE,TOWN,?,YES,0,NO,?,YES,YES,NO
'\'All\'',?,TOWN,'\'(-inf-47816.3]\'',?,1,YES,YES,YES,?,YES
'\'All\'',MALE,TOWN,'\'(-inf-47816.3]\'',YES,0,YES,YES,NO,?,YES
'\'All\'',MALE,?,'\'(-inf-47816.3]\'',NO,0,NO,YES,YES,YES,NO
'\'All\'',?,TOWN,?,?,0,YES,NO,NO,NO,NO
'\'All\'',MALE,SUBURBAN,'\'(47816.3-inf)\'',YES,2,YES,YES,NO,YES,YES
?,MALE,TOWN,'\'(-inf-47816.3]\'',?,2,YES,NO,YES,YES,NO
'\'All\'',FEMALE,TOWN,'\'(-inf-47816.3]\'',NO,3,NO,YES,NO,NO,NO
?,FEMALE,RURAL,?,NO,2,YES,YES,YES,NO,NO
'\'All\'',?,TOWN,'\'(-inf-47816.3]\'',?,1,?,YES,YES,YES,YES
?,MALE,TOWN,'\'(-inf-47816.3]\'',NO,3,YES,YES,YES,NO,NO
'\'All\'',?,INNER_CITY,'\'(-inf-47816.3]\'',YES,1,NO,?,YES,NO,YES
'\'All\'',FEMALE,TOWN,'\'(-inf-47816.3]\'',NO,1,YES,YES,NO,NO,YES
'\'All\'',MALE,RURAL,?,?,0,NO,YES,YES,NO,NO
?,MALE,?,'\'(-inf-47816.3]\'',?,1,YES,YES,YES,NO,NO
'\'All\'',?,INNER_CITY,'\'(-inf-47816.3]\'',YES,?,NO,NO,NO,NO,NO
'\'All\'',FEMALE,INNER_CITY,'\'(-inf-47816.3]\'',?,2,NO,YES,?,YES,YES
'\'All\'',MALE,TOWN,'\'(-inf-47816.3]\'',YES,?,NO,?,YES,?,NO
'\'All\'',?,SUBURBAN,'\'(47816.3-inf)\'',YES,?,NO,?,?,NO,YES
'\'All\'',FEMALE,?,'\'(-inf-47816.3]\'',YES,?,YES,?,YES,YES,NO
'\'All\'',FEMALE,INNER_CITY,'\'(-inf-47816.3]\'',?,2,YES,?,?,YES,NO
'\'All\'',FEMALE,INNER_CITY,'\'(-inf-47816.3]\'',YES,0,YES,YES,YES,?,NO
?,FEMALE,TOWN,'\'(-inf-47816.3]\'',YES,0,YES,?,NO,NO,YES
'\'All\'',MALE,INNER_CITY,'\'(-inf-47816.3]\'',YES,0,?,YES,NO,YES,NO
?,?,?,'\'(-inf-47816.3]\'',NO,0,YES,NO,YES,YES,YES
